YEAR,QUARTER,WEEK,GEOGRAPHY,MARKET,SECTOR,INDUSTRY,UT30_NAME,ACCOUNT_TYPE,SIGNINGS_AMT,PRACTICE,DEAL_SIZE,CLIENT_NAME,SIGNINGS_AMT_PY,SIGNINGS_AMT_PPY,COUNTRY,BRANCH,UT15_NAME,UT17_NAME,UT20_NAME,MONTH
2023,2,13,Rest of EMEA,NCEE,CEE,Computer Integrated Systems Design,Digital Product Design and Engineering OA,Unassigned,0.0,Migration & Modernization,<10M,KYNDRYL,,,,,Strategy & Technology,Hybrid Cloud & Data,Digital Product Design and Engineering,3
2023,4,11,Americas,Canada,Canada Fin,Select Client,Quality Engineering Services OA,TARGET PREMIER,-3721.0,Quality Engineering,<10M,INTERAC CORP,,,,,Intelligent Operations,Application Operations,Quality Engineering Services,3
2023,4,13,APAC,ANZ,New Zealand,Select BPS-T,"AI Integration Services (with IBM, AWS)",Unassigned,0.0,AI & Analytics,<10M,AUCKLAND CITY COUNCIL,,,,,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)",3
2023,3,12,UKI,UKI Financial Services Sector,UKI Barclays,Banking,Data Transformation,ENTERPRISE,0.0,,<10M,BARCLAYS BANK PLC,,,,,Strategy & Technology,Hybrid Cloud & Data,"Data Transformation (with IBM, AWS, Microsoft)",3
2023,3,13,Americas,US Federal,US Federal,Unassigned,Cloud and Technology Strategy OA,Unassigned,-6764910.58,,<10M,Unassigned,,,,,Strategy & Technology,Hybrid Cloud & Data,Cloud and Technology Strategy,3
2023,1,5,Americas,US Public and Communications,US Public and Communications,Select BPS-T,WORKDAY,Unassigned,0.0,,<10M,PREMIER INC,,,,,Strategy & Technology,Business Applications,HR Technology,1
2023,1,8,UKI,UKI Distribution,Ireland DIST,Select BPS-T,Custom Application Management Services OA,Unassigned,0.0,Custom Application Operations,<10M,IRELAND TRANSPORT DEPARTMENT,,,,,Intelligent Operations,Application Operations,Custom Application Management Services,2
2023,3,6,Americas,US Federal,US Federal,Unassigned,Custom Application Management Services OA,Unassigned,0.0,,Unassigned,Unassigned,,,,,Intelligent Operations,Application Operations,Custom Application Management Services,2
2023,3,8,Rest of EMEA,DACH,DE COMM DIST HLS,Computer Integrated Systems Design,"AI Integration Services (with IBM, AWS)",Unassigned,0.0,Enterprise Strategy & Industry,<10M,KYNDRYL,,,,,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)",2
2023,4,9,Rest of EMEA,MEA,Gulf and Levant,Select Technology Sales Rep,Custom Application Management Services OA,TARGET PREMIER,-363713.0,Custom Application Operations,<10M,DUBAI ISLAMIC BANK,,,,,Intelligent Operations,Application Operations,Custom Application Management Services,2
2023,1,6,Americas,US Financial,US Financial,Select Technology Sales Rep,IBM Cyber Threat Management Other,Unassigned,0.0,Cyber Threat Management,<10M,TRUSTMARK NATIONAL BANK,,,,,Intelligent Operations,Cybersecurity,IBM Cyber Threat Management,2
2023,2,12,Japan,JP Top,JP Other,Unassigned,Digital Product Design and Engineering OA,Unassigned,0.0,Migration & Modernization,<10M,KAJIMA CORPORATION,,,,,Strategy & Technology,Hybrid Cloud & Data,Digital Product Design and Engineering,3
2023,1,6,UKI,UKI Public,UKI HLS (wo DoH),Digital Squads,AI Integration Services (with Microsoft),Unassigned,0.0,Microsoft,<10M,OXFORD NANOPORE TECHNOLOGIES PLC,,,,,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)",2
2023,1,4,Rest of EMEA,NCEE,CEE,Select Build(ISV)/Service(GSI),Quality Engineering Services OA,Unassigned,0.0,,<10M,THE BLACKSTONE GROUP L P,,,,,Intelligent Operations,Application Operations,Quality Engineering Services,1
2023,4,12,Americas,US Federal,US Federal,Government,Cloud Platform Engineering Services - Other,ENTERPRISE,0.0,Platform Engineering Services,<10M,CIV -  NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,,,,,Intelligent Operations,Application Operations,Cloud Platform Engineering Services,3
2023,2,11,APAC,ANZ,Australia PUB,Government,Custom Application Management Services OA,PREMIER,0.0,Custom Application Operations,<10M,AUSTRALIAN TAXATION OFFICE,,,,,Intelligent Operations,Application Operations,Custom Application Management Services,3
2023,2,6,Americas,US Communications & Industrial,US Communications & Industrial,Select Technology Sales Rep,IBM Cyber Strategy and Risk Other,TARGET PREMIER,0.0,Cyber Strategy & Risk,<10M,MCCANN / INTERPUBLIC GROUP,,,,,Intelligent Operations,Cybersecurity,IBM Cyber Strategy and Risk,2
2023,4,12,APAC,ISA,ISA FSS,Select BPS-T,Custom Application Management Services OA,ENTERPRISE,0.0,Custom Application Operations,<10M,NISSAY,,,,,Intelligent Operations,Application Operations,Custom Application Management Services,3
2023,2,4,Americas,US Financial,US Financial,Digital Squads,Industry-Specific BPO,TARGET ENTERPRISE,84323.0,Industry Operations & Automation,<10M,CARLYLE GROUP - FORTITUDE GROUP HOLDINGS,,,,,Intelligent Operations,Business Operations,Intelligent Industry Operations,1
2023,1,13,Americas,US Public and Communications,US Public and Communications,Government,Custom Application Management Services OA,PREMIER,2431094.0,Custom Application Operations,<10M,STATE OF FLORIDA,,,,,Intelligent Operations,Application Operations,Custom Application Management Services,3
2023,3,5,APAC,ANZ,Australia COMM,Select BPS-T,Custom Application Management Services OA,PREMIER,212769.0,Custom Application Operations,<10M,AUSNET SERVICES,,,,,Intelligent Operations,Application Operations,Custom Application Management Services,1
2023,4,8,Americas,Canada,Canada Ind,Select Client,ADOBE,ENTERPRISE,0.0,Adobe,<10M,TOYOTA MOTOR CORPORATION,,,,,Strategy & Technology,Business Applications,Marketing Transformation,2
2023,3,4,Americas,US Communications & Industrial,US Communications & Industrial,Select Build(ISV)/Service(GSI),SAP,PREMIER,35053.0,SAP,<10M,BOSTON CONSULTING GROUP INC,,,,,Strategy & Technology,Business Applications,Business Transformation with SAP Applications,1
2023,3,11,UKI,UKI Industrial,UKI BP,Chemical & Petroleum,IBM Cyber Strategy and Risk Other,ENTERPRISE,0.0,Cyber Strategy & Risk,<10M,BP PLC,,,,,Intelligent Operations,Cybersecurity,IBM Cyber Strategy and Risk,3
2023,3,13,Rest of EMEA,DACH,DE Other,Unassigned,Cloud Platform Engineering Services - Other,Unassigned,-18150.0,Platform Engineering Services,<10M,NORDCLOUD AUSTRIA GMBH,,,,,Intelligent Operations,Application Operations,Cloud Platform Engineering Services,3
