CALL,WON,UPSIDE,QUALIFY_PLUS,PROPOSE_PLUS,NEGOTIATE_PLUS,OPEN_PIPELINE,VALUE,PPA,PPV,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,YEAR,QUARTER,WEEK,RELATIVE_QUARTER_MNEUMONIC,SNAPSHOT_LEVEL,SALES_STAGE,DEAL_SIZE,CLIENT_TYPE,CLIENT_SUB_TYPE,GEOGRAPHY,MARKET,COUNTRY,REGION,BRANCH,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,SALES_WEEK_DESCRIPTION
0.0,0.0,0.0,110000.0,0.0,0.0,110000.0,110000.0,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Qualify,<1M,Coverage Enterprise,Coverage Enterprise,EMEA,DACH Market,Switzerland,DACH Region,CH Enterprise,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
0.0,0.0,0.0,166666.67,0.0,0.0,166666.67,166666.67,4031.0,2557.0,0.0,0.0,2023,4,1,CQ,W,Design,<1M,Coverage Select,Select Build/Service,EMEA,DACH Market,Germany,DACH Region,DACH Select Partners,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
0.0,0.0,0.0,0.0,0.0,0.0,400000.0,400000.0,999.0,0.0,0.0,0.0,2023,4,1,CQ,W,Engage,<1M,Coverage Select,Select Build/Service,EMEA,DACH Market,Germany,DACH Region,DACH Select Partners,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
0.0,0.0,0.0,22500.0,0.0,0.0,22500.0,22500.0,562.0,0.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Select,Select Build/Service,EMEA,DACH Market,Germany,DACH Region,DACH Select Partners,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
0.0,0.0,0.0,0.0,0.0,0.0,125000.0,125000.0,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Engage,<1M,Coverage Select,Select Build/Service,EMEA,DACH Market,Austria,DACH Region,DACH Select Partners,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
0.0,0.0,0.0,22500.0,0.0,0.0,22500.0,22500.0,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Qualify,<1M,Coverage Select,Select Build/Service,EMEA,DACH Market,Germany,DACH Region,DACH Select Partners,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,100000.0,528.0,334.0,0.0,0.0,2023,4,1,CQ,W,Design,<1M,Coverage Enterprise,Coverage Enterprise,EMEA,DACH Market,Germany,DACH Region,DE Enterprise,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
0.0,0.0,0.0,33333.33,0.0,0.0,33333.33,33333.33,241.0,152.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,EMEA,DACH Market,Germany,DACH Region,DE Strategic,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
686000.0,686000.0,0.0,0.0,0.0,0.0,0.0,686000.0,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Won,<1M,Coverage Strategic,Coverage Strategic,EMEA,DACH Market,Germany,DACH Region,DE Strategic,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,2401.0,0.0,0.0,0.0,2023,4,1,CQ,W,Engage,<1M,Coverage Select,Select BPS-T,EMEA,"Northern, Central and Eastern Europe Market",Denmark,Denmark Region,DK Select Territory,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
0.0,0.0,0.0,0.0,0.0,0.0,70000.0,70000.0,1268.0,0.0,0.0,0.0,2023,4,1,CQ,W,Engage,<1M,Coverage Strategic,Coverage Strategic,EMEA,France Market,France,France Region,FR Strategic,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
0.0,0.0,0.0,316666.0,0.0,0.0,316666.0,316666.0,5625.0,9730.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,EMEA,France Market,France,France Region,FR Strategic,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
0.0,0.0,0.0,0.0,0.0,0.0,70000.0,70000.0,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Engage,<1M,Coverage Strategic,Coverage Strategic,EMEA,France Market,France,France Region,FR Strategic,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
316666.0,316666.0,0.0,0.0,0.0,0.0,0.0,316666.0,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Won,<1M,Coverage Strategic,Coverage Strategic,EMEA,France Market,France,France Region,FR Strategic,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
40000.0,0.0,0.0,0.0,0.0,0.0,40000.0,40000.0,0.0,0.0,0.0,40000.0,2023,4,14,PQ,W,Engage,<1M,Coverage Enterprise,Coverage Enterprise,EMEA,Italy Market,Italy,Italy Region,IT Enterprise,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
0.0,0.0,0.0,150000.0,0.0,0.0,150000.0,150000.0,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Design,<1M,Coverage Strategic,Coverage Strategic,EMEA,Italy Market,Italy,Italy Region,IT Strategic,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
0.0,0.0,0.0,0.0,0.0,0.0,66666.67,66666.67,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Engage,<1M,Coverage Strategic,Coverage Strategic,EMEA,Italy Market,Italy,Italy Region,IT Strategic,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
0.0,0.0,0.0,150000.0,0.0,0.0,150000.0,150000.0,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,EMEA,Italy Market,Italy,Italy Region,IT Strategic,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
0.0,0.0,0.0,500000.0,0.0,0.0,500000.0,500000.0,9520.0,7966.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Enterprise,Coverage Enterprise,Americas,US Public Market,US Public,US Public Top Account Region,JOHNSON & JOHNSON,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
0.0,0.0,0.0,950000.0,0.0,0.0,950000.0,950000.0,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,EMEA,"Northern, Central and Eastern Europe Market",Netherlands,Netherlands Region,NL Strategic,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
0.0,0.0,0.0,38759.65,0.0,0.0,38759.65,38759.65,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Qualify,<1M,Coverage Select,Select BPS-T,EMEA,"Northern, Central and Eastern Europe Market",Sweden,North Region Territory,SE Select Territory,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
400000.0,400000.0,0.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Won,<1M,Coverage Enterprise,Coverage Enterprise,Americas,US Public Market,US Public,US Public Top Account Region,STATE OF CALIFORNIA,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
0.0,0.0,0.0,495000.0,0.0,0.0,495000.0,495000.0,15714.0,13149.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Americas,US Public Market,US Public,US Public Top Account Region,STATE OF MICHIGAN,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
0.0,0.0,0.0,311000.0,0.0,0.0,311000.0,311000.0,10633.0,8898.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Americas,US Public Market,US Public,US Public Top Account Region,STATE OF TEXAS,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
0.0,0.0,0.0,1800000.0,0.0,0.0,1800000.0,1800000.0,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Americas,US Public Market,US Public,US Public Top Account Region,STATE OF TEXAS,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
127000.0,127000.0,0.0,0.0,0.0,0.0,0.0,127000.0,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Won,<1M,Coverage Strategic,Coverage Strategic,Americas,US Public Market,US Public,US Public Top Account Region,STATE OF TEXAS,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
0.0,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Engage,<1M,Coverage Strategic,Coverage Strategic,Americas,Latin America Market,Argentina,Spanish South America Region,South SSA Strategic,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
135070.0,0.0,0.0,135070.0,135070.0,135070.0,135070.0,135070.0,0.0,0.0,0.0,135070.0,2023,4,14,PQ,W,Closing,<1M,Coverage Select,Select TSR,EMEA,Middle East/Africa Market,UAE - United Arab Emirates,Gulf Levante and Pakistan Region,UAE Select Territory,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
0.0,0.0,0.0,850000.0,0.0,0.0,850000.0,850000.0,14466.0,19661.0,0.0,0.0,2023,4,1,CQ,W,Design,<1M,Coverage Enterprise,Coverage Enterprise,EMEA,UKI Market,United Kingdom,UKI Region,UK Enterprise,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
0.0,0.0,0.0,60000.0,0.0,0.0,60000.0,60000.0,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Design,<1M,Coverage Enterprise,Coverage Enterprise,EMEA,UKI Market,United Kingdom,UKI Region,UK Enterprise,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
0.0,0.0,0.0,250000.0,0.0,0.0,250000.0,250000.0,2560.0,1885.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Americas,US Industry Market,US Industry,US Industry Region,US EU/TME Strategic,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
345882.35,345882.35,0.0,0.0,0.0,0.0,0.0,345882.35,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Won,<1M,Coverage Strategic,Coverage Strategic,Americas,US Financial Service Market,US Financial,US Financial Service Region,US FSM EAST,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W14
0.0,0.0,0.0,500000.0,0.0,0.0,500000.0,500000.0,5124.0,6102.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Americas,US Financial Service Market,US Financial,US Financial Service Region,US FSM WEST,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,100000.0,230.0,318.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Americas,US Federal Market,US Federal,US Federal Region,US Federal Strategic,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
0.0,0.0,0.0,225000.0,0.0,0.0,225000.0,225000.0,2589.0,1907.0,0.0,0.0,2023,4,1,CQ,W,Design,<1M,Coverage Strategic,Coverage Strategic,Americas,US Industry Market,US Industry,US Industry Region,US Industrial Strategic,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
0.0,0.0,0.0,250000.0,0.0,0.0,250000.0,250000.0,4916.0,3621.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Americas,US Industry Market,US Industry,US Industry Region,US Tech Strategic,Automation Platform,Technology Business Management,IT Financial Management,Apptio,2023Q4W01
0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,2023,4,-2,NQ+1,W,Qualify,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W-2
0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,1000.0,18.0,247.0,0.0,0.0,2023,4,-1,NQ,W,Qualify,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W-1
0.0,0.0,0.0,26000.0,0.0,0.0,26000.0,26000.0,1578.0,5975.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W01
2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Won,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W14
49621.03,49621.03,0.0,0.0,0.0,0.0,0.0,49621.03,0.0,0.0,0.0,0.0,2023,4,14,PQ,W,Won,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,US Northeast Region,01. MA-ME-NH-RI-VT Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W14
0.0,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0,716.0,0.0,0.0,0.0,2023,4,1,CQ,W,Engage,<1M,Coverage Select,Select BPS-T,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W01
0.0,0.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,39271.0,54328.0,0.0,0.0,2023,4,1,CQ,W,Negotiate,<1M,Coverage Select,Select BPS-T,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W01
0.0,0.0,31320.72,31320.72,31320.72,0.0,31320.72,31320.72,23242.0,0.0,0.0,0.0,2023,4,1,CQ,W,Propose,<1M,Coverage Select,Select BPS-T,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W01
0.0,0.0,0.0,41000.0,0.0,0.0,41000.0,41000.0,0.0,0.0,0.0,0.0,2023,4,-2,NQ+1,W,Qualify,<1M,Coverage Select,Select BPS-T,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W-2
0.0,0.0,0.0,41000.0,0.0,0.0,41000.0,41000.0,324.0,2849.0,0.0,0.0,2023,4,-1,NQ,W,Qualify,<1M,Coverage Select,Select BPS-T,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W-1
0.0,0.0,0.0,138000.0,0.0,0.0,138000.0,138000.0,5888.0,5349.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W01
54510.0,0.0,0.0,54510.0,54510.0,54510.0,54510.0,54510.0,49154.0,0.0,0.0,0.0,2023,4,1,CQ,W,Closing,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W01
0.0,0.0,0.0,70000.0,0.0,0.0,70000.0,70000.0,5240.0,7249.0,0.0,0.0,2023,4,1,CQ,W,Qualify,<1M,Coverage Select,Select Clients,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W01
4243.39,0.0,0.0,4243.39,4243.39,4243.39,4243.39,4243.39,3100.0,0.0,0.0,0.0,2023,4,1,CQ,W,Closing,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W01
0.0,0.0,0.0,25000.0,0.0,0.0,25000.0,25000.0,270.0,3708.0,0.0,0.0,2023,4,-1,NQ,W,Design,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W-1
0.0,0.0,62213.4,62213.4,62213.4,62213.4,62213.4,62213.4,50275.0,0.0,59271.24,0.0,2023,4,1,CQ,W,Negotiate,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W01
0.0,0.0,8560.8,8560.8,8560.8,0.0,8560.8,8560.8,6301.0,0.0,0.0,0.0,2023,4,1,CQ,W,Propose,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W01
0.0,0.0,0.0,34000.0,0.0,0.0,34000.0,34000.0,0.0,0.0,0.0,0.0,2023,4,-2,NQ+1,W,Qualify,<1M,Coverage Select,Select Digital,Americas,US National Market,US National Market,US Northeast Region,02. CT-NJ-NY Hub,Automation Platform,Application Development & Integration,Application Integration,Aspera,2023Q4W-2
