SK_LINE_ITEM,OPPORTUNITY_NUMBER,ACCOUNT_NAME,CALL,WON,UPSIDE,QUALIFY_PLUS,PROPOSE_PLUS,NEGOTIATE_PLUS,OPEN_PIPELINE,VALUE,PPA,PPV,PWP,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,DATE,YEAR,QUARTER,WEEK,RELATIVE_QUARTER_MNEUMONIC,SNAPSHOT_LEVEL,SALES_STAGE,DEAL_SIZE,CLIENT_TYPE,CLIENT_SUB_TYPE,GEOGRAPHY,MARKET,COUNTRY,REGION,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,LINK_TO_ISC,SALES_WEEK_DESCRIPTION,BRANCH,CLOSE_DATE,CLOSE_YEAR,CLOSE_QUARTER,CLOSE_MONTH,CLOSE_WEEK,NEXT_STEP
8259217,0063h00000MFe6VAAT,PUBLIC SERVICE ELECTRIC & GAS CO,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0,33.0,0.0,0.0013418,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Engage,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,US Northeast Region,Data Platform,AI Productivity,AI Assistants,watsonx Orchestrate,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFe6VAAT/view,2024Q3W06,02. CT-NJ-NY Hub,2024-09-27,2024,3,9,13,
8259435,0063h00000MFeWKAA1,THE PRUDENTIAL INSURANCE COMPANY OF AMERICA,0.0,0.0,0.0,180000.0,0.0,0.0,180000.0,180000.0,732.0,1175.0,0.00406938,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Strategic,Coverage Strategic,Americas,US Financial Service Market,US Financial,US Financial Service Region,Automation Platform,Infrastructure Automation,Network Management,NS1,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFeWKAA1/view,2024Q3W06,US FSM EAST,2024-09-27,2024,3,9,13,125 TSL Ehrlich to fup w Shivani Patel Andrew Pus mgr  IBM relationship mgr Vishal after NS1 rep Kaelin Sprawls email to Shivani to let her know she presented NS1 to Andrew  Jeff Raymond A Kogut for immediate relief to monthly DDoS attacks
8258584,0063h00000MFeYoAAL,SUPERINTENDENCIA DE BANCA Y,0.0,0.0,0.0,25000.0,0.0,0.0,25000.0,25000.0,43.0,58.0,0.001721,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,Americas,Latin America Market,Peru,Spanish South America Region,Automation Platform,Security Threat Management,Security Threat Mgmt,QRadar Log Insights Withdrawn,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFeYoAAL/view,2024Q3W06,North SSA Select,2024-09-30,2024,3,9,14,
8258742,0063h00000MFeYoAAL,SUPERINTENDENCIA DE BANCA Y,0.0,0.0,0.0,25000.0,0.0,0.0,25000.0,25000.0,62.0,114.0,0.00250075,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Select,Select BPS-T,Americas,Latin America Market,Peru,Spanish South America Region,Automation Platform,Application Development & Integration,Application Integration,"Int: Subscr, Edu, and Special Offerings Srvcs Only Withdrawn",https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFeYoAAL/view,2024Q3W06,North SSA Select,2024-09-30,2024,3,9,14,
8892697,0063h00000MFkzyAAD,COGNITECH A/S,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,10000.0,29.0,37.0,0.00299778,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Select,Select Build/Service,EMEA,"Northern, Central and Eastern Europe Market",Denmark,Denmark Region,Data Platform,AI/ML Ops,AI Tools,watsonx.ai,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFkzyAAD/view,2024Q3W06,DK Select Partners,2024-09-30,2024,3,9,14,Following the BtW event in CPH in 2023 and TechXchange in 2024 Cognitech has scoped two specific use cases to be solved with Watsonai  followup scheduled for 19 February to determine next steps
8892818,0063h00000MFkzyAAD,COGNITECH A/S,0.0,0.0,0.0,5000.0,0.0,0.0,5000.0,5000.0,14.0,18.0,0.0029103,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Select,Select Build/Service,EMEA,"Northern, Central and Eastern Europe Market",Denmark,Denmark Region,Data Platform,Data Fabric,Data Lakehouse,watsonx.data,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFkzyAAD/view,2024Q3W06,DK Select Partners,2024-09-30,2024,3,9,14,Following the BtW event in CPH in 2023 and TechXchange in 2024 Cognitech has scoped two specific use cases to be solved with Watsonai  followup scheduled for 19 February to determine next steps
8892927,0063h00000MFkzyAAD,COGNITECH A/S,0.0,0.0,0.0,5000.0,0.0,0.0,5000.0,5000.0,6.0,7.0,0.00127517,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Select,Select Build/Service,EMEA,"Northern, Central and Eastern Europe Market",Denmark,Denmark Region,Data Platform,AI/ML Ops,AI Governance,watsonx.governance,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFkzyAAD/view,2024Q3W06,DK Select Partners,2024-09-30,2024,3,9,14,Following the BtW event in CPH in 2023 and TechXchange in 2024 Cognitech has scoped two specific use cases to be solved with Watsonai  followup scheduled for 19 February to determine next steps
8264124,0063h00000MFok9AAD,CAITO LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,66.0,0.0,0.00440905,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Engage,<1M,Coverage Select,Select BPS-T,APAC,Australia/New Zealand Market,New Zealand,Australia/New Zealand Region,Automation Platform,Infrastructure Automation,Identity and Access Mgmt,Verify Privilege,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFok9AAD/view,2024Q3W06,New Zealand Select,2024-07-31,2024,3,7,5,
9522328,0063h00000MFpYiAAL,STATE OF TENNESSEE,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,100000.0,388.0,619.0,0.00388669,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Qualify,<1M,Coverage Select,Select TSR,Americas,US National Market,US National Market,US Northeast Region,Automation Platform,Technology Business Management,Observability Portfolio,Flexera One with IBM Observability,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFpYiAAL/view,2024Q3W06,06. KY-TN Hub,2024-09-26,2024,3,9,13,8224  Met with Prolifics on 730 Working with them to schedule a State of TN workshop with STS central procurement etc for IT Automation portfolio Thushara has a next step meeting with them on 815 to discover initial use cases Had issues with IL
8264866,0063h00000MFqKxAAL,ATCO TECHNOLOGY MANAGEMENT LTD,0.0,0.0,200000.0,200000.0,200000.0,0.0,200000.0,200000.0,2106.0,3120.0,0.01053453,0.0,0.0,2024-08-10 00:00:00,2024,3,6,CQ,W,Propose,<1M,Coverage Select,Select Clients,Americas,Canadian Market,Canada,Canada Region,Data Platform,AI/ML Ops,AI Tools,watsonx.ai,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000MFqKxAAL/view,2024Q3W06,CA Select - C,2024-09-20,2024,3,9,12,Feb 6th pilot to start in the weeks ahead  Carol Ruck leading
