YEAR,QUARTER,MONTH,UT15_NAME,UT17_NAME,UT20_NAME,GEOGRAPHY,MARKET,COUNTRY,REGION,REVENUE_BUDGET,COST_BUDGET,EXPENSE_BUDGET,BRANCH
2025,3,7,Data Platform,AI/ML Ops,AI Governance,EMEA,Italy Market,Italy Plan,Italy Region,128097.99,0.0,0.0,
2025,1,1,Data Platform,AI/ML Ops,AI Governance,EMEA,Middle East/Africa Market,Middle East and Africa Plan,Middle East/Africa Top Region,125461.67,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Governance,EMEA,Middle East/Africa Market,Middle East and Africa Plan,Middle East/Africa Top Region,191675.37,0.0,0.0,
2025,1,1,Data Platform,AI/ML Ops,AI Governance,Americas,US Financial Service Market,U.S. Financial Plan,US Financial Service Region,1050982.64,0.0,0.0,
2025,2,4,Data Platform,AI/ML Ops,AI Governance,Americas,US Financial Service Market,U.S. Financial Plan,US Financial Service Region,1325334.44,0.0,0.0,
2025,4,10,Data Platform,AI/ML Ops,AI Governance,Americas,US Financial Service Market,U.S. Financial Plan,US Financial Service Region,1672615.29,0.0,0.0,
2025,2,4,Data Platform,AI/ML Ops,AI Governance,EMEA,UKI Market,UK/Ireland Plan,UKI Region,1287146.85,0.0,0.0,
2025,1,1,Data Platform,AI/ML Ops,AI Governance,Americas,US Partner Service Market,US Build/Service Partnerss Plan,US Partner Service Region,107493.48,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Governance,Americas,US Partner Service Market,US Build/Service Partnerss Plan,US Partner Service Region,132416.49,0.0,0.0,
2025,4,10,Data Platform,AI/ML Ops,AI Governance,Americas,US National Market,US National Plan,US Northeast Region,2382176.17,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Tools,APAC,ASEAN Market,Asean Plan,ASEAN Region,227822.94,0.0,0.0,
2025,2,4,Data Platform,AI/ML Ops,AI Tools,EMEA,DACH Market,DACH Plan,DACH Region,358749.29,0.0,0.0,
2025,1,1,Data Platform,AI/ML Ops,AI Tools,Japan,Japan Market,Japan Plan,Japan Region,139524.44,0.0,0.0,
2025,1,1,Data Platform,AI/ML Ops,AI Tools,APAC,Korea Market,Korea Plan,Korea Region,8917.87,0.0,0.0,
2025,2,4,Data Platform,AI/ML Ops,AI Tools,APAC,Korea Market,Korea Plan,Korea Region,10535.45,0.0,0.0,
2025,2,4,Data Platform,AI/ML Ops,AI Tools,Americas,Latin America Market,Latin America Market Plan,Latin America Top Region,833048.52,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Tools,Americas,Latin America Market,Latin America Market Plan,Latin America Top Region,854280.2,0.0,0.0,
2025,1,1,Data Platform,AI/ML Ops,AI Tools,EMEA,Middle East/Africa Market,Middle East and Africa Plan,Middle East/Africa Top Region,164531.47,0.0,0.0,
2025,1,1,Data Platform,AI/ML Ops,AI Tools,EMEA,"Northern, Central and Eastern Europe Market","Northern, Central and Eastern Europe Plan","Northern, Central and Eastern Europe Top Region",430423.8,0.0,0.0,
2025,2,4,Data Platform,AI/ML Ops,AI Tools,EMEA,SPGI Market,SPGI Top,SPGI Region,120682.03,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Tools,Americas,US Federal Market,U.S. Federal Plan,US Federal Region,86603.17,0.0,0.0,
2025,2,4,Data Platform,AI/ML Ops,AI Tools,Americas,US Top Market,U.S. Other Plan,US Top Region,-729564.78,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Tools,Americas,US Public Market,U.S. Public Plan,US Public Top Account Region,621775.62,0.0,0.0,
2025,2,4,Data Platform,AI/ML Ops,AI Tools,Americas,US Partner Service Market,US Build/Service Partnerss Plan,US Partner Service Region,14992.09,0.0,0.0,
2025,3,7,Data Platform,AI/ML Ops,AI Tools,Americas,US Partner Service Market,US Build/Service Partnerss Plan,US Partner Service Region,32218.19,0.0,0.0,
2025,2,4,Data Platform,AI/ML Ops,AI Tools,Americas,US Industry Market,US Industry Plan,US Industry Region,561676.94,0.0,0.0,
2025,2,4,Automation Platform,Application Development & Integration,Application Development,APAC,ASEAN Market,Asean Plan,ASEAN Region,2003.72,0.0,0.0,
2025,3,7,Automation Platform,Application Development & Integration,Application Development,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Australia/New Zealand Region,36272.14,0.0,0.0,
2025,1,1,Automation Platform,Application Development & Integration,Application Development,Americas,Canadian Market,Canada Plan,Canada Region,7250.39,0.0,0.0,
2025,4,10,Automation Platform,Application Development & Integration,Application Development,EMEA,DACH Market,DACH Plan,DACH Region,27361.08,0.0,0.0,
2025,3,7,Automation Platform,Application Development & Integration,Application Development,EMEA,France Market,France Plan,France Region,42610.6,0.0,0.0,
2025,3,7,Automation Platform,Application Development & Integration,Application Development,Japan,Japan Market,Japan Plan,Japan Region,20051.08,0.0,0.0,
2025,3,7,Automation Platform,Application Development & Integration,Application Development,Americas,US Federal Market,U.S. Federal Plan,US Federal Region,53762.44,0.0,0.0,
2025,1,1,Automation Platform,Application Development & Integration,Application Development,Americas,US Financial Service Market,U.S. Financial Plan,US Financial Service Region,20792.76,0.0,0.0,
2025,2,4,Automation Platform,Application Development & Integration,Application Development,Americas,US Public Market,U.S. Public Plan,US Public Top Account Region,87628.48,0.0,0.0,
2025,3,7,Automation Platform,Application Development & Integration,Application Development,Americas,US Public Market,U.S. Public Plan,US Public Top Account Region,89243.65,0.0,0.0,
2025,1,1,Automation Platform,Application Development & Integration,Application Development,Americas,US Partner Service Market,US Build/Service Partnerss Plan,US Partner Service Region,262.46,0.0,0.0,
2025,3,7,Automation Platform,Application Development & Integration,Application Development,Americas,US Industry Market,US Industry Plan,US Industry Region,149601.88,0.0,0.0,
2025,1,1,Automation Platform,Application Development & Integration,Application Development,Americas,US National Market,US National Plan,US Northeast Region,28367.94,0.0,0.0,
2025,2,4,Automation Platform,Application Development & Integration,Application Integration,APAC,ASEAN Market,Asean Plan,ASEAN Region,72134.59,0.0,0.0,
2025,4,10,Automation Platform,Application Development & Integration,Application Integration,EMEA,DACH Market,DACH Plan,DACH Region,1537120.83,0.0,0.0,
