CALL_AMT,WON_AMT,UPSIDE_AMT,QUALIFY_PLUS_AMT,PROPOSE_PLUS_AMT,NEGOTIATE_PLUS_AMT,OPEN_PIPELINE_AMT,OPPORTUNITY_VALUE,PPV_AMT,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,WEEK,QUARTER,YEAR,SNAPSHOT_LEVEL,RELATIVE_QUARTER_MNEUMONIC,SALES_STAGE,GEOGRAPHY,MARKET,SECTOR,ACCOUNT_TYPE,GROWTH_PLATFORM,SERVICE_LINE,SERVICE_LINE_AREA,OFFERING,DEAL_SIZE,CLIENT_NAME,IBM_GEN_AI_IND,PARTNER_GEN_AI_IND,SALES_WEEK_DESCRIPTION,UT15_NAME,UT17_NAME,UT20_NAME
194999.0,194999.0,0.0,194999.0,194999.0,194999.0,0,194999,0,0,0,14,3,2023,W,PQ,Won,Japan,JP Distribution,JP Consumer,PREMIER,Business Transformation Services,Data & Technology Transformation,"Data Transformation (with IBM, AWS, Microsoft)",DTT: Data Transformation - Customer,small,AEON,0,0,2023Q3W14,,,
1202.0,1202.0,0.0,1202.0,1202.0,1202.0,0,1202,0,0,0,14,3,2023,W,PQ,Won,Rest of EMEA,SPGI,Spain IND,Unassigned,Hybrid Cloud Services,Hybrid Cloud Management,Custom Application Management Services,Application Maintenance and Management - OnPrem,small,AERNNOVA,0,0,2023Q3W14,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,2000000,0,0,0,1,3,2023,W,CQ,Lost,UKI,UKI Financial Services Sector,UKI Insurance,Unassigned,Hybrid Cloud Services,Hybrid Cloud Management,Custom Application Management Services,Application Maintenance and Management - OnPrem,small,AGEAS,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,1000000,0,0,0,14,3,2023,W,PQ,Lost,Rest of EMEA,SPGI,Spain PUB,Unassigned,Business Transformation Services,Data & Technology Transformation,"AI Integration Services (with IBM, AWS, Microsoft)",DTT: AI & Analytics - Finance & Supply Chain,small,AGENCIA DIGITAL DE ANDALUCIA,0,0,2023Q3W14,,,
0.0,0.0,0.0,167501.0,0.0,0.0,167501,167501,7066,0,0,1,3,2023,W,CQ,Design,Americas,US Communications & Industrial,US Communications & Industrial,Unassigned,Cybersecurity Services,Cybersecurity,IBM Cyber Threat Management,CSS: X-Force Threat Mgmt for OT (C&SI) 6950-00K Withdrawn,small,AGILENT TECHNOLOGIES,0,0,2023Q3W01,,,
0.0,0.0,0.0,80000.0,0.0,0.0,80000,80000,13675,0,0,1,3,2023,W,CQ,Design,Americas,US Communications & Industrial,US Communications & Industrial,Unassigned,Hybrid Cloud Services,Hybrid Cloud Management,Cloud Platform Engineering Services,Platform Engineering Services (Manage),small,AGILENT TECHNOLOGIES,0,0,2023Q3W01,,,
0.0,0.0,900000.0,900000.0,900000.0,0.0,900000,900000,57845,0,0,1,3,2023,W,CQ,Propose,Americas,LA,LA Chile,Unassigned,Hybrid Cloud Services,Hybrid Cloud Management,Quality Engineering Services,Quality Assurance & Testing - Standalone,small,AGROSUPER SERVICIOS CORPORATIVOS,0,0,2023Q3W01,,,
56280.0,56280.0,0.0,56280.0,56280.0,56280.0,0,56280,0,0,0,14,3,2023,W,PQ,Won,Americas,US Distribution,US Retail,PREMIER,Business Transformation Services,Customer Transformation,Marketing Transformation,CT: Customer Transformation with Adobe,small,AHOLD DELHAIZE,0,0,2023Q3W14,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,1500000,0,0,0,1,3,2023,W,CQ,Lost,Americas,US Distribution,US Retail,PREMIER,Business Transformation Services,Customer Transformation,Business Transformation with Salesforce,CT: Service Transformation with Salesforce,small,AHOLD DELHAIZE,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,5000000,0,0,0,14,3,2023,W,PQ,Lost,Americas,US Distribution,US Retail,PREMIER,Business Transformation Services,Data & Technology Transformation,"AI Integration Services (with IBM, AWS, Microsoft)",DTT: Banking & Insurance Transformation,small,AHOLD DELHAIZE,0,0,2023Q3W14,,,
