SK_LINE_ITEM,OPPORTUNITY_NUMBER,ACCOUNT_NAME,CALL,WON,UPSIDE,QUALIFY_PLUS,PROPOSE_PLUS,NEGOTIATE_PLUS,OPEN_PIPELINE,VALUE,PPA,PPV,PWP,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,DATE,YEAR,QUARTER,WEEK,RELATIVE_QUARTER_MNEUMONIC,SNAPSHOT_LEVEL,SALES_STAGE,DEAL_SIZE,CLIENT_TYPE,CLIENT_SUB_TYPE,GEOGRAPHY,MARKET,COUNTRY,REGION,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,LINK_TO_ISC,SALES_WEEK_DESCRIPTION,BRANCH,CLOSE_DATE,CLOSE_YEAR,CLOSE_QUARTER,CLOSE_MONTH,CLOSE_WEEK,NEXT_STEP
2128224,0063h00000DXM63AAH,THE HUMBER COLLEGE INSTITUTE,0.0,0.0,0.0,250000.0,0.0,0.0,250000.0,250000.0,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Design,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DXM63AAH/view,2023Q4W-2,CA Select - C,2023-12-22,2023,4,12,13,Finalizing POC of phase 1 and awaiting call for proposal to submit for Cloud Health Agri
2130732,0063h00000DXM63AAH,THE HUMBER COLLEGE INSTITUTE,0.0,0.0,0.0,250000.0,0.0,0.0,250000.0,250000.0,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Design,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud IaaS,Cloud Native IaaS,Cloud Object Storage,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DXM63AAH/view,2023Q4W-2,CA Select - C,2023-12-22,2023,4,12,13,Finalizing POC of phase 1 and awaiting call for proposal to submit for Cloud Health Agri
1903996,0063h00000DZ2oUAAT,CANADIAN IMPERIAL BANK OF,0.0,0.0,1000000.0,1000000.0,1000000.0,0.0,1000000.0,1000000.0,10735.0,13207.0,0.01073581,0.0,0.0,2023-10-07 00:00:00,2023,4,1,CQ,W,Propose,>=1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Data Platform,AI Productivity,AI Assistants,watsonx Assistant Withdrawn,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DZ2oUAAT/view,2023Q4W01,Canada Enterprise,2023-12-31,2023,4,12,14,Meeting with CIBC Aug 31st to review first iteration of Pricing WA Cloud Implementation
2132487,0063h00000DeixnAAB,PET VALU CANADA INC.,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,100000.0,196.0,6555.0,0.00196133,0.0,0.0,2023-07-01 00:00:00,2023,4,-1,NQ,W,Design,<1M,Coverage Select,Select Clients,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,VMware Managed and Solutions,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000DeixnAAB/view,2023Q4W-1,CA Select - C,2023-10-31,2023,4,10,6,2905 2023 PJM  NS still trying to connect with Jeff Piller Need to adjust the Revenue opportunity
2127182,0063h00000Dtx5tAAB,THE HUMBER COLLEGE INSTITUTE,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Qualify,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,SAP Rise Premium Supplier,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000Dtx5tAAB/view,2023Q4W-2,CA Select - C,2023-10-31,2023,4,10,6,
2128233,0063h00000Dtx5tAAB,THE HUMBER COLLEGE INSTITUTE,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Qualify,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000Dtx5tAAB/view,2023Q4W-2,CA Select - C,2023-10-31,2023,4,10,6,
2128234,0063h00000Dtx5tAAB,THE HUMBER COLLEGE INSTITUTE,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Qualify,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000Dtx5tAAB/view,2023Q4W-2,CA Select - C,2023-10-31,2023,4,10,6,
2128235,0063h00000Dtx5tAAB,THE HUMBER COLLEGE INSTITUTE,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,2023-04-01 00:00:00,2023,4,-2,NQ+1,W,Qualify,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000Dtx5tAAB/view,2023Q4W-2,CA Select - C,2023-10-31,2023,4,10,6,
2127182,0063h00000Dtx5tAAB,THE HUMBER COLLEGE INSTITUTE,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,200000.0,49.0,1638.0,0.00024624,0.0,0.0,2023-07-01 00:00:00,2023,4,-1,NQ,W,Qualify,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,SAP Rise Premium Supplier,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000Dtx5tAAB/view,2023Q4W-1,CA Select - C,2023-10-31,2023,4,10,6,
2128233,0063h00000Dtx5tAAB,THE HUMBER COLLEGE INSTITUTE,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,200000.0,155.0,5184.0,0.00077912,0.0,0.0,2023-07-01 00:00:00,2023,4,-1,NQ,W,Qualify,<1M,Coverage Enterprise,Coverage Enterprise,Americas,Canadian Market,Canada,Canada Region,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,https://ibmsc.lightning.force.com/lightning/r/Opportunity/0063h00000Dtx5tAAB/view,2023Q4W-1,CA Select - C,2023-10-31,2023,4,10,6,
