YEAR,QUARTER,MONTH,INDUSTRY,UT30_NAME,PRACTICE,GEOGRAPHY,MARKET,SECTOR,REVENUE_BUDGET_AMT,SIGNINGS_BUDGET_AMT,CLIENT_NAME,UT15_NAME,UT17_NAME,UT20_NAME,GROSS_PROFIT_BUDGET_AMT,PLAN_ID
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,3900000.0,14200000.0,WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),585000.0,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,3900000.0,5600000.0,WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),585000.0,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,2600000.0,2800000.0,WATER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),390000.0,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,3000000.0,1000000.0,WESTERN POWER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),600000.0,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,4500000.0,3000000.0,WESTERN POWER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),900000.0,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,4500000.0,4000000.0,WESTERN POWER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),900000.0,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,APAC,ANZ,Australia Other,3000000.0,2000000.0,WESTERN POWER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),600000.0,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,2000000.0,1000000.0,ALGONQUIN POWER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),553965.01,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,1750000.0,15000000.0,ALGONQUIN POWER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),499204.31,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,1180000.0,2500000.0,ALGONQUIN POWER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),271419.36,BUDCL
