YEAR,QUARTER,WEEK,GEOGRAPHY,MARKET,COUNTRY,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,DEAL_SIZE,SIGNINGS,SIGNINGS_PY,SIGNINGS_PPY,BRANCH
2025,2,3,EMEA,DACH Market,Austria,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,84872.0,,,
2025,1,13,EMEA,DACH Market,Switzerland,Public Cloud Platform,Public Cloud PaaS,PaaS True Up / Top (AUO),"PaaS True Up, Allocations and Other (AUO)",Unassigned,1.0,,,
2025,1,13,Americas,Latin America Market,Peru,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,-1186080.0,,,
2025,1,9,APAC,Korea Market,Korea,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,0.0,,,
2025,1,12,EMEA,"Northern, Central and Eastern Europe Market",Sweden,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,2,10,EMEA,DACH Market,Germany,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,0.0,,,
2025,2,3,EMEA,UKI Market,United Kingdom,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,0.0,,,
2025,2,11,Americas,Latin America Market,Brazil,Z TPS,zTPS Operations / Services Market,zTPS Operations / Services,"zTPS Top - Acctg Adj, BP Rebates (AUO)",Unassigned,0.0,,,
2025,1,13,EMEA,Middle East/Africa Market,Morocco,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,9,EMEA,France Market,France,Public Cloud Platform,Public Cloud PaaS,PaaS True Up / Top (AUO),"PaaS True Up, Allocations and Other (AUO)",Unassigned,135000.0,,,
2025,2,7,Japan,Japan Market,Japan,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,114286.0,,,
2025,1,8,Americas,US Top Market,United States of America,Z TPS,zTPS Operations / Services Market,zTPS Operations / Services,"zTPS Top - Acctg Adj, BP Rebates (AUO)",Unassigned,-293162.0,,,
2025,1,12,EMEA,UKI Market,United Kingdom,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,VMware Managed and Solutions,<10M,0.0,,,
2025,1,9,EMEA,"Northern, Central and Eastern Europe Market",Sweden,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,0.0,,,
2025,1,12,EMEA,"Northern, Central and Eastern Europe Market",Netherlands,Public Cloud Platform,Public Cloud PaaS,PaaS True Up / Top (AUO),"PaaS True Up, Allocations and Other (AUO)",Unassigned,0.0,,,
2025,1,11,Americas,Latin America Market,Peru,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,0.0,,,
2025,2,3,EMEA,"Northern, Central and Eastern Europe Market",Denmark,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,7895.0,,,
2025,1,11,EMEA,SPGI Market,Spain,Public Cloud Platform,Public Cloud PaaS,PaaS True Up / Top (AUO),"PaaS True Up, Allocations and Other (AUO)",Unassigned,-38157.0,,,
2025,1,6,Americas,US Top Market,United States of America,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,409983.0,,,
2025,1,9,EMEA,"Northern, Central and Eastern Europe Market",Denmark,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,0.0,,,
2025,1,12,APAC,Australia/New Zealand Market,Australia,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,0.0,,,
2025,2,6,EMEA,DACH Market,Germany,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,11600.0,,,
2025,1,3,EMEA,Middle East/Africa Market,South Africa,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,-3.0,,,
2025,1,10,APAC,Greater China Group Market,Hong Kong,Automation Platform,Infrastructure Automation,Network Management,Network Automation Top (AUO),Unassigned,-16.0,,,
2025,2,10,EMEA,UKI Market,United Kingdom,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,0.0,,,
2025,1,11,EMEA,UKI Market,United Kingdom,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,1.0,,,
2025,1,6,APAC,Korea Market,Korea,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,0.0,,,
2025,2,5,EMEA,"Northern, Central and Eastern Europe Market",Finland,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,764.0,,,
2025,1,5,EMEA,"Northern, Central and Eastern Europe Market",Netherlands,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,0.0,,,
2025,1,8,Americas,Latin America Market,Mexico,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,10,EMEA,"Northern, Central and Eastern Europe Market",Sweden,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,0.0,,,
